"id" "dataNasc" "cep"
880 "31/07/1998" ""
881 "17/05/1984" "04578-907"
882 "21/08/1993" ""
883 "08/10/1978" "04578-910"
884 "13/02/1972" ""
885 "01/02/1973" "04578-911"
886 "25/05/1994" ""
887 "16/01/1998" "04578-901"
888 "05/12/1983" ""
889 "20/01/1970" "04623-091"
890 "02/01/1999" "04601-101"
891 "16/01/1985" "04556-111"
892 "20/04/1975" "04570-002"
893 "28/02/1975" ""
894 "07/01/1994" "04561-031"
895 "08/10/1980" "04560-000"
896 "10/08/1994" ""
897 "27/03/1985" "04560-911"
898 "17/11/1986" ""
899 "23/06/1981" "04560-912"
900 "15/12/1975" ""
901 "05/07/1999" "04560-909"
902 "02/08/1994" ""
903 "01/02/1990" "04560-910"
904 "20/12/1999" ""
905 "16/03/1993" "04560-908"
906 "26/08/1992" ""
907 "21/04/1991" "04560-914"
908 "07/09/1984" ""
909 "20/08/1995" "04560-915"
910 "06/02/1978" ""
911 "06/11/1975" "04560-913"
912 "10/06/1987" ""
913 "22/01/1982" "04560-001"
914 "19/03/1997" ""
915 "13/09/1980" "04560-002"
916 "01/06/1984" ""
917 "21/10/1974" "04571-081"
918 "26/03/1986" "04623-070"
919 "21/08/1991" ""
920 "13/01/1994" "04623-071"
921 "11/05/1995" ""
922 "12/06/1970" "04562-021"
923 "08/12/1984" "04623-140"
924 "31/08/1990" "04623-000"
925 "04/01/1996" "04570-140"
926 "22/12/1977" "04570-904"
927 "14/07/1975" ""
928 "03/11/1994" "04568-021"
929 "07/05/1990" "04559-000"
930 "03/03/1998" ""
931 "22/09/1998" "04559-001"
932 "15/02/1994" ""
933 "25/04/1980" "04559-901"
934 "10/07/1999" ""
935 "28/08/1979" "01008-904"
936 "26/08/1985" ""
937 "06/06/1986" "01008-906"
938 "11/06/1995" ""
939 "13/12/1975" "01009-906"
940 "03/06/1977" ""
941 "08/03/1993" "01009-902"
942 "29/11/1985" ""
943 "25/10/1979" "01008-903"
944 "30/03/1984" ""
945 "02/09/1981" "01008-908"
946 "16/12/1989" ""
947 "29/05/1985" "01009-907"
948 "15/01/1996" ""
949 "24/01/1973" "01009-904"
950 "16/12/1990" ""
951 "29/12/1986" "01009-905"
952 "22/09/1989" ""
953 "02/02/1976" "01009-903"
954 "13/11/1996" ""
955 "22/09/1981" "04750-030"
956 "06/07/1984" "04750-900"
957 "27/07/1990" ""
958 "14/12/1980" "04750-901"
959 "25/07/1979" ""
960 "08/12/1996" "04662-081"
961 "13/08/1974" "04752-091"
962 "30/01/1984" "04627-051"
963 "05/10/1992" "04741-010"
964 "03/07/1982" ""
965 "30/05/1987" "04741-900"
966 "09/11/1993" ""
967 "22/04/1996" "04741-011"
968 "13/03/1982" ""
969 "22/04/1986" "04739-071"
970 "27/05/1999" "04743-000"
971 "03/10/1972" ""
972 "13/10/1994" "04743-001"
973 "08/01/1979" ""
974 "19/11/1999" "04741-179"
975 "13/07/1982" "03122-021"
976 "19/11/1986" "03111-030"
977 "09/09/1998" "03111-020"
978 "09/11/1984" "03115-041"
979 "15/05/1998" "03125-071"
980 "27/01/1992" "03182-071"
981 "09/03/1973" "03164-101"
982 "19/02/1980" "03178-141"
983 "06/04/1970" "03103-097"
984 "09/11/1977" "03118-030"
985 "11/10/1985" ""
986 "08/09/1983" "03118-020"
987 "22/09/1984" ""
988 "04/09/1994" "03164-151"
989 "23/10/1986" "03112-081"
990 "12/11/1979" "03178-180"
991 "02/01/1996" "03178-040"
992 "30/12/1999" "03120-021"
993 "20/10/1983" "03109-021"
994 "24/01/1975" "03112-061"
995 "30/12/1971" "03123-071"
996 "11/12/1989" "03109-000"
997 "13/12/1976" ""
998 "08/04/1983" "03109-901"
999 "14/01/1979" ""
1000 "20/11/1972" ""
